,Catalog No.,Product,Imported Country,Other Info,Price,,Made in,Cruelty_free,Vegan,Ranking_In_Best_Seller_List,SunFilter_Ingredients
78,1073986331,ASTALIFT - Perfect UV Protector SPF 50 PA++++,,,US$62.82,,Japan,Yes,,79,[' TITANIUM OXIDE']
80,1112228757,Cute Press - UV Expert Protection Whitening& Anti-Aging Sunscreen SPF 50+ PA+++,,,US$29.90,,Thailand,Yes,Yes,81,"[' ETHYLHEXYL METHOXYCINNAMATE', ' DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE']"
81,1077701949,PONY EFFECT - Prime Protect Sun Cover - 2 Colors,South Korea,,US$20.40,,,,,82,[' TITANIUM DIOXIDE (CI 77891)']
82,1061161424,ZYMOGEN - Long-Lasting Power Sun Cream SPF50 PA+++ 60ml,South Korea,,US$21.41,,,,,83,"[' ETHYLHEXYL METHOXYCINNAMATE', ' TITANIUM DIOXIDE', ' ISOAMYL P-METHOXYCINNAMATE', ' BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE', ' ZINC OXIDE']"
83,1100234696,NULL - Perfect UV Protect & Water Proof High Spec Sunscreen SPF 50+ PA++++,,,US$33.63,,Japan,,,84,"[' ETHYLHEXYL METHOXYCINNAMATE', ' POLYSILICONE-15']"
86,1077952143,Rohto Mentholatum - Skin Aqua Tone Up UV Essence SPF 50+ PA++++ 80g - 4 Types,,,US$12.91,,Japan,,,87,"[' ETHYLHEXYL METHOXYCINNAMATE', ' TITANIUM OXIDE', ' TITANIUM OXIDE']"
87,1074422962,LABIOTTE - UV Veil Moisture Sun Essence Special Set,South Korea,,US$20.00,,,,,88,"[' HOMOSALATE', ' OCTOCRYLENE', ' ETHYLHEXYL SALICYLATE', ' BUTYL METHOXYDIBENZOYLMETHANE']"
89,1090045452,Kose - Suncut UV Perfect Gel Super Water Proof SPF 50+ PA++++,,,US$15.76,,Japan,Yes,,90,"[' ETHYLHEXYL METHOXYCINNAMATE', ' POLYSILICONE-15']"
90,1102106887,make p:rem - UV Defense Me. Calming Sun Cream,South Korea,Translation reference for Korean beauty product packaging:,US$18.08,,,,,91,[' ZINC OXIDE']
92,1099798065,Nivea Japan - Sun Water Gel SPF 35 PA+++ 140g,,,US$18.38,,Japan,,,93,[' ETHYLHEXYL METHOXYCINNAMATE']
